"PARENT_KEY","Site","Cluster","Plot","Longitude","Latitude","VegStructure","Year","Trees","Shrubs","KEY","trheight","trcircumf","trspecies_scientific","treespecies_common","Subplot"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[4]","24.4","73","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[5]","24.4","82","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[6]","17.8","61","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[7]","17.8","61","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[8]","23.8","56","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[9]","11.4","22","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[10]","23.6","63","Eucalyptus paniculata","N","4"
"uuid:9a65380f-6827-4119-92e8-c70c10743e5b","Kalamba","4","9","37.5","-1.82511","woodland","2023","yes","yes","uuid:9a65380f-6827-4119-92e8-c70c10743e5b/supl4_tree_data[11]","23.6","79","Eucalyptus paniculata","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[1]","6.9","28","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[2]","17.3","42","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[3]","18.9","55","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[4]","23.4","82","Eucalyptus saligna","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[5]","28.3","112","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[6]","19.4","42","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[7]","18.9","49","Acacia melanoxylon","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[8]","16.4","26","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[9]","26.8","123","Eucalyptus saligna","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[10]","14.3","31","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[11]","18.6","35","Cupressus lusitanica","N","4"
"uuid:508770a8-0e2d-427c-a8e8-120ef6101459","Kalamba","4","12","37.4987","-1.82363","woodland","2023","yes","yes","uuid:508770a8-0e2d-427c-a8e8-120ef6101459/supl4_tree_data[12]","28.3","193","Eucalyptus saligna","N","4"
